Image,Label
biopsy#ak_1.png,biopsy#ak
biopsy#ak_3.png,biopsy#ak
biopsy#ak_5.png,biopsy#ak
biopsy#ak_7.png,biopsy#ak
biopsy#ak_9.png,biopsy#ak
biopsy#ak_11.png,biopsy#ak
biopsy#ak_13.png,biopsy#ak
biopsy#ak_15.png,biopsy#ak
biopsy#ak_17.png,biopsy#ak
biopsy#ak_19.png,biopsy#ak
biopsy#ak_21.png,biopsy#ak
biopsy#ak_23.png,biopsy#ak
biopsy#ak_25.png,biopsy#ak
biopsy#ak_27.png,biopsy#ak
biopsy#ak_29.png,biopsy#ak
biopsy#ak_31.png,biopsy#ak
biopsy#ak_33.png,biopsy#ak
biopsy#ak_35.png,biopsy#ak
biopsy#ak_37.png,biopsy#ak
biopsy#ak_39.png,biopsy#ak
biopsy#ak_41.png,biopsy#ak
biopsy#ak_43.png,biopsy#ak
biopsy#ak_45.png,biopsy#ak
biopsy#ak_47.png,biopsy#ak
biopsy#ak_49.png,biopsy#ak
biopsy#ak_51.png,biopsy#ak
biopsy#ak_53.png,biopsy#ak
biopsy#ak_55.png,biopsy#ak
biopsy#ak_57.png,biopsy#ak
biopsy#ak_59.png,biopsy#ak
biopsy#ak_61.png,biopsy#ak
biopsy#ak_63.png,biopsy#ak
biopsy#ak_65.png,biopsy#ak
biopsy#ak_67.png,biopsy#ak
biopsy#ak_69.png,biopsy#ak
biopsy#ak_71.png,biopsy#ak
biopsy#ak_73.png,biopsy#ak
biopsy#ak_75.png,biopsy#ak
biopsy#ak_77.png,biopsy#ak
biopsy#ak_79.png,biopsy#ak
biopsy#ak_81.png,biopsy#ak
biopsy#ak_83.png,biopsy#ak
biopsy#ak_85.png,biopsy#ak
biopsy#ak_87.png,biopsy#ak
biopsy#ak_89.png,biopsy#ak
biopsy#ak_91.png,biopsy#ak
biopsy#ak_93.png,biopsy#ak
biopsy#ak_95.png,biopsy#ak
biopsy#ak_97.png,biopsy#ak
biopsy#ak_99.png,biopsy#ak
biopsy#ak_101.png,biopsy#ak
biopsy#ak_103.png,biopsy#ak
biopsy#ak_105.png,biopsy#ak
biopsy#ak_107.png,biopsy#ak
biopsy#ak_109.png,biopsy#ak
biopsy#ak_111.png,biopsy#ak
biopsy#ak_113.png,biopsy#ak
biopsy#ak_115.png,biopsy#ak
biopsy#ak_117.png,biopsy#ak
biopsy#ak_119.png,biopsy#ak
biopsy#ak_121.png,biopsy#ak
biopsy#ak_123.png,biopsy#ak
biopsy#ak_125.png,biopsy#ak
biopsy#ak_127.png,biopsy#ak
biopsy#ak_129.png,biopsy#ak
biopsy#ak_131.png,biopsy#ak
biopsy#ak_133.png,biopsy#ak
biopsy#ak_135.png,biopsy#ak
biopsy#ak_137.png,biopsy#ak
biopsy#ak_139.png,biopsy#ak
biopsy#ak_141.png,biopsy#ak
biopsy#ak_143.png,biopsy#ak
biopsy#ak_145.png,biopsy#ak
biopsy#ak_147.png,biopsy#ak
biopsy#ak_149.png,biopsy#ak
biopsy#ak_151.png,biopsy#ak
biopsy#ak_153.png,biopsy#ak
biopsy#ak_155.png,biopsy#ak
biopsy#ak_157.png,biopsy#ak
biopsy#ak_159.png,biopsy#ak
biopsy#ak_161.png,biopsy#ak
biopsy#ak_163.png,biopsy#ak
biopsy#ak_165.png,biopsy#ak
biopsy#ak_167.png,biopsy#ak
biopsy#ak_169.png,biopsy#ak
biopsy#ak_171.png,biopsy#ak
biopsy#ak_173.png,biopsy#ak
biopsy#ak_175.png,biopsy#ak
biopsy#ak_177.png,biopsy#ak
biopsy#ak_179.png,biopsy#ak
biopsy#ak_181.png,biopsy#ak
biopsy#ak_183.png,biopsy#ak
biopsy#ak_185.png,biopsy#ak
biopsy#ak_187.png,biopsy#ak
biopsy#ak_189.png,biopsy#ak
biopsy#ak_191.png,biopsy#ak
biopsy#ak_193.png,biopsy#ak
biopsy#ak_195.png,biopsy#ak
biopsy#ak_197.png,biopsy#ak
biopsy#ak_199.png,biopsy#ak
biopsy#ak_201.png,biopsy#ak
biopsy#ak_203.png,biopsy#ak
biopsy#ak_205.png,biopsy#ak
biopsy#ak_207.png,biopsy#ak
biopsy#ak_209.png,biopsy#ak
biopsy#ak_211.png,biopsy#ak
biopsy#ak_213.png,biopsy#ak
biopsy#ak_215.png,biopsy#ak
biopsy#ak_217.png,biopsy#ak
biopsy#ak_219.png,biopsy#ak
biopsy#ak_221.png,biopsy#ak
biopsy#ak_223.png,biopsy#ak
biopsy#ak_225.png,biopsy#ak
biopsy#ak_227.png,biopsy#ak
biopsy#ak_229.png,biopsy#ak
biopsy#ak_231.png,biopsy#ak
biopsy#ak_233.png,biopsy#ak
biopsy#ak_235.png,biopsy#ak
biopsy#ak_237.png,biopsy#ak
biopsy#ak_239.png,biopsy#ak
biopsy#ak_241.png,biopsy#ak
biopsy#ak_243.png,biopsy#ak
biopsy#ak_245.png,biopsy#ak
biopsy#ak_247.png,biopsy#ak
biopsy#ak_249.png,biopsy#ak
biopsy#ak_251.png,biopsy#ak
biopsy#ak_253.png,biopsy#ak
biopsy#ak_255.png,biopsy#ak
biopsy#ak_257.png,biopsy#ak
biopsy#ak_259.png,biopsy#ak
biopsy#ak_261.png,biopsy#ak
biopsy#ak_263.png,biopsy#ak
biopsy#ak_265.png,biopsy#ak
biopsy#ak_267.png,biopsy#ak
biopsy#ak_269.png,biopsy#ak
biopsy#ak_271.png,biopsy#ak
biopsy#ak_273.png,biopsy#ak
biopsy#ak_275.png,biopsy#ak
biopsy#ak_277.png,biopsy#ak
biopsy#ak_279.png,biopsy#ak
biopsy#ak_281.png,biopsy#ak
biopsy#ak_283.png,biopsy#ak
biopsy#ak_285.png,biopsy#ak
biopsy#ak_287.png,biopsy#ak
biopsy#ak_289.png,biopsy#ak
biopsy#ak_291.png,biopsy#ak
biopsy#ak_293.png,biopsy#ak
biopsy#ak_295.png,biopsy#ak
biopsy#ak_297.png,biopsy#ak
biopsy#ak_299.png,biopsy#ak
biopsy#ak_301.png,biopsy#ak
biopsy#ak_303.png,biopsy#ak
biopsy#ak_305.png,biopsy#ak
biopsy#ak_307.png,biopsy#ak
biopsy#ak_309.png,biopsy#ak
biopsy#ak_311.png,biopsy#ak
biopsy#ak_313.png,biopsy#ak
biopsy#ak_315.png,biopsy#ak
biopsy#ak_317.png,biopsy#ak
biopsy#ak_319.png,biopsy#ak
biopsy#ak_321.png,biopsy#ak
biopsy#ak_323.png,biopsy#ak
biopsy#ak_325.png,biopsy#ak
biopsy#ak_327.png,biopsy#ak
biopsy#ak_329.png,biopsy#ak
biopsy#ak_331.png,biopsy#ak
biopsy#ak_333.png,biopsy#ak
biopsy#ak_335.png,biopsy#ak
biopsy#ak_337.png,biopsy#ak
biopsy#ak_339.png,biopsy#ak
biopsy#ak_341.png,biopsy#ak
biopsy#ak_343.png,biopsy#ak
biopsy#ak_345.png,biopsy#ak
biopsy#ak_347.png,biopsy#ak
biopsy#ak_349.png,biopsy#ak
biopsy#ak_351.png,biopsy#ak
biopsy#ak_353.png,biopsy#ak
biopsy#ak_355.png,biopsy#ak
biopsy#ak_357.png,biopsy#ak
biopsy#ak_359.png,biopsy#ak
biopsy#ak_361.png,biopsy#ak
biopsy#ak_363.png,biopsy#ak
biopsy#ak_365.png,biopsy#ak
biopsy#ak_367.png,biopsy#ak
biopsy#ak_369.png,biopsy#ak
biopsy#ak_371.png,biopsy#ak
biopsy#ak_373.png,biopsy#ak
biopsy#ak_375.png,biopsy#ak
biopsy#ak_377.png,biopsy#ak
biopsy#ak_379.png,biopsy#ak
biopsy#ak_381.png,biopsy#ak
biopsy#ak_383.png,biopsy#ak
biopsy#ak_385.png,biopsy#ak
biopsy#ak_387.png,biopsy#ak
biopsy#ak_389.png,biopsy#ak
biopsy#ak_391.png,biopsy#ak
biopsy#ak_393.png,biopsy#ak
biopsy#ak_395.png,biopsy#ak
biopsy#ak_397.png,biopsy#ak
biopsy#ak_399.png,biopsy#ak
biopsy#ak_401.png,biopsy#ak
biopsy#ak_403.png,biopsy#ak
biopsy#ak_405.png,biopsy#ak
biopsy#ak_407.png,biopsy#ak
biopsy#ak_409.png,biopsy#ak
biopsy#ak_411.png,biopsy#ak
biopsy#ak_413.png,biopsy#ak
biopsy#ak_415.png,biopsy#ak
biopsy#ak_417.png,biopsy#ak
biopsy#ak_419.png,biopsy#ak
biopsy#ak_421.png,biopsy#ak
biopsy#ak_423.png,biopsy#ak
biopsy#ak_425.png,biopsy#ak
biopsy#ak_427.png,biopsy#ak
biopsy#ak_429.png,biopsy#ak
biopsy#ak_431.png,biopsy#ak
biopsy#ak_433.png,biopsy#ak
biopsy#ak_435.png,biopsy#ak
biopsy#ak_437.png,biopsy#ak
biopsy#ak_439.png,biopsy#ak
biopsy#ak_441.png,biopsy#ak
biopsy#ak_443.png,biopsy#ak
biopsy#ak_445.png,biopsy#ak
biopsy#ak_447.png,biopsy#ak
biopsy#ak_449.png,biopsy#ak
biopsy#ak_451.png,biopsy#ak
biopsy#ak_453.png,biopsy#ak
biopsy#ak_455.png,biopsy#ak
biopsy#ak_457.png,biopsy#ak
biopsy#ak_459.png,biopsy#ak
biopsy#ak_461.png,biopsy#ak
biopsy#ak_463.png,biopsy#ak
biopsy#ak_465.png,biopsy#ak
biopsy#ak_467.png,biopsy#ak
biopsy#ak_469.png,biopsy#ak
biopsy#ak_471.png,biopsy#ak
biopsy#ak_473.png,biopsy#ak
biopsy#ak_475.png,biopsy#ak
biopsy#ak_477.png,biopsy#ak
biopsy#ak_479.png,biopsy#ak
biopsy#ak_481.png,biopsy#ak
biopsy#ak_483.png,biopsy#ak
biopsy#ak_485.png,biopsy#ak
biopsy#ak_487.png,biopsy#ak
biopsy#ak_489.png,biopsy#ak
biopsy#ak_491.png,biopsy#ak
biopsy#ak_493.png,biopsy#ak
biopsy#ak_495.png,biopsy#ak
biopsy#ak_497.png,biopsy#ak
biopsy#ak_499.png,biopsy#ak
biopsy#ak_501.png,biopsy#ak
biopsy#ak_503.png,biopsy#ak
biopsy#ak_505.png,biopsy#ak
biopsy#ak_507.png,biopsy#ak
biopsy#ak_509.png,biopsy#ak
biopsy#ak_511.png,biopsy#ak
biopsy#ak_513.png,biopsy#ak
biopsy#ak_515.png,biopsy#ak
biopsy#ak_517.png,biopsy#ak
biopsy#ak_519.png,biopsy#ak
biopsy#ak_521.png,biopsy#ak
biopsy#ak_523.png,biopsy#ak
biopsy#ak_525.png,biopsy#ak
biopsy#ak_527.png,biopsy#ak
biopsy#ak_529.png,biopsy#ak
biopsy#ak_531.png,biopsy#ak
biopsy#ak_533.png,biopsy#ak
biopsy#ak_535.png,biopsy#ak
biopsy#ak_537.png,biopsy#ak
biopsy#ak_539.png,biopsy#ak
biopsy#ak_541.png,biopsy#ak
biopsy#ak_543.png,biopsy#ak
biopsy#ak_545.png,biopsy#ak
biopsy#ak_547.png,biopsy#ak
biopsy#ak_549.png,biopsy#ak
biopsy#ak_551.png,biopsy#ak
biopsy#ak_553.png,biopsy#ak
biopsy#ak_555.png,biopsy#ak
biopsy#ak_557.png,biopsy#ak
biopsy#ak_559.png,biopsy#ak
biopsy#ak_561.png,biopsy#ak
biopsy#ak_563.png,biopsy#ak
biopsy#ak_565.png,biopsy#ak
biopsy#ak_567.png,biopsy#ak
biopsy#ak_569.png,biopsy#ak
